MBC,스포츠매거진,30030,스포츠,일,1,15,6,0
KBS1,스포츠이야기운동화,10117,스포츠,월,0,20,1,10
MBC,스포츠특선,30031,스포츠,화,0,35,6,0
KBS2,스포츠하이라이트,20055,스포츠,"화,수,목,금",0,25,0,35
KBS2,승승장구,20018,오락,화,23,15,0,25
KBS1,시사기획KBS10,10069,시사교양,화,22,0,22,50
MBC,시사매거진2580,30032,시사교양,일,23,0,23,50
KBS1,시청자칼럼우리사는세상,10071,시사교양,"월,화,수,목,금",18,55,19,0
MBC,"시추에이션휴먼다큐,그날",30033,시사교양,토,8,45,9,40
SBS,시티헌터,40093,드라마,"수,목",21,55,23,15
SBS,신기생뎐,40035,드라마,주말,21,50,23,0
MBC,신비한TV서프라이즈,30034,오락,일,10,45,12,0
MBC,싸이킥히어로,30097,드라마,"월,화",16,30,17,0
KBS1,아름다운사람들,10118,시사교양,"화,수,목,금",22,50,23,0
MBC,아름다운콘서트,30098,오락,월,0,40,1,40
KBS1,아침마당,10072,시사교양,"월,화,수,목,금,토",8,25,9,30
KBS2,언제나청춘,20056,시사교양,일,6,0,7,0
MBC,에그보이코루,30100,드라마,목,16,30,17,0
KBS1,여성공감,10073,시사교양,"월,화",11,0,11,55
KBS2,여유만만,20058,오락,"월,화,수,목,금",10,0,11,0
KBS1,역사스페셜,10102,시사교양,목,22,0,22,50
KBS2,연예가중계,20059,오락,토,21,5,22,10
SBS,열린TV시청자세상,40037,시사교양,금,12,30,13,30
KBS1,열린음악회,10074,시사교양,일,17,35,19,0
KBS1,열린채널,10075,시사교양,금,13,0,13,30
KBS2,영상앨범산,20060,시사교양,일,7,40,8,10
KBS2,영화가좋다,20061,오락,토,10,5,11,5
KBS2,오토마을붕붕친구들,20101,드라마,"수,목",15,35,16,0
KBS1,우당탕탕캐릭터극장,10110,드라마,토,13,0,13,30
MBC,우리결혼했어요,30042,오락,토,17,0,18,20
MBC,우리들의일밤,30077,오락,일,17,20,19,55
KBS1,우리말겨루기,10076,시사교양,월,19,30,20,25
SBS,우리아이가달라졌어요,40038,시사교양,화,18,30,19,20
MBC,우리아이미래발견재능무한대,30047,시사교양,금,16,0,16,30
KBS1,우리집여자들,10119,드라마,"월,화,수,목,금",20,25,21,0
MBC,웃고또웃고,30043,오락,토,0,25,1,20
KBS2,위기탈출넘버원,20067,오락,월,20,50,21,50
KBS2,유희열의스케치북,20068,오락,토,0,15,1,35
KBS1,인간극장,10080,시사교양,"월,화,수,목,금",7,50,8,25
SBS,일요일이좋다,40016,오락,일,17,20,20,0
KBS1,일요진단,10082,시사교양,일,8,10,9,0
SBS,일요특선다큐멘터리,40041,시사교양,일,7,10,8,10
MBC,자원봉사희망프로젝트나누면행복,30045,시사교양,목,0,35,6,0
KBS2,자유선언토요일,20110,오락,토,17,50,19,55
SBS,잘먹고잘사는법,40042,시사교양,토,9,45,11,0
MBC,장애인희망프로젝트함께사는세상,30046,시사교양,월,12,15,13,5
KBS1,전국노래자랑,10083,오락,일,12,10,14,10
SBS,접속무비월드,40045,오락,토,11,0,12,0
KBS1,제23회TV바둑아시아선수권대회,10000,스포츠,월,1,15,6,0
KBS2,제6회새싹동요큰잔치,20000,시사교양,금,16,5,17,0
KBS1,제빵왕김탁구,10121,드라마,"월,화,수,목",13,0,14,0
KBS1,제주도디지털시대를열다,10000,시사교양,수,16,10,16,40
KBS1,제주특별자치도지상파방송디지털전환기념식,10000,시사교양,수,18,30,18,55
SBS,좋은아침,40023,시사교양,"월,화,수,목,금",9,20,10,40
SBS,중소기업대한민국의힘,40048,시사교양,수,12,30,13,30
SBS,쥬블스,40095,드라마,수,15,30,16,0
KBS1,즐거운책읽기,10122,시사교양,목,11,0,11,55
KBS2,지구촌뉴스,20070,시사교양,"월,화,수,목,금",11,0,11,20
MBC,지구촌리포트,30051,시사교양,토,7,30,7,55
KBS1,지상파디지털방송-새로운미래를열다,10000,시사교양,수,17,0,18,30
SBS,짝,40079,오락,수,23,15,0,25
MBC,찾아라맛있는TV,30053,오락,토,11,0,12,0
KBS2,체험삶의현장,20071,시사교양,토,7,30,8,10
KBS2,최강합체믹스마스터,20072,드라마,목,16,30,17,0
KBS2,추적60분,20073,시사교양,수,23,5,0,5
KBS2,출발드림팀,20074,오락,일,10,35,11,45
SBS,출발모닝와이드,40050,시사교양,"월,화,수,목,금",6,0,6,30
MBC,출발비디오여행,30056,오락,일,12,10,13,10
KBS1,취재파일4321,10086,시사교양,일,22,30,23,10
KBS1,콘서트7080,10087,오락,일,23,10,0,20
KBS1,퀴즈대한민국,10088,시사교양,일,10,0,11,0
KBS2,퀴즈쇼사총사,20077,오락,일,8,10,9,0
KBS1,클래식오디세이,10089,시사교양,목,0,35,6,0
